origem,ano,mes,dia,total_ping,total_falha,porcentagem
Haacke,2018,12,1,288,2,9930
Haacke,2018,12,2,288,0,10000
Haacke,2018,12,3,284,10,9647
Haacke,2018,12,4,288,104,6388
Haacke,2018,12,5,287,287,0
Haacke,2018,11,23,289,21,9273
Haacke,2018,11,24,288,6,9791
Haacke,2018,11,25,55,4,9272
Haacke,2018,11,27,192,3,9843
Haacke,2018,11,28,110,6,9454
Haacke,2018,11,29,288,12,9583
Haacke,2018,11,30,288,7,9756
Starmilk,2018,12,1,288,164,4305
Starmilk,2018,12,2,288,2,9930
Starmilk,2018,12,3,285,3,9894
Starmilk,2018,12,4,288,0,10000
Starmilk,2018,12,5,288,2,9930
Starmilk,2018,12,6,288,0,10000
Starmilk,2018,12,7,287,21,9268
Starmilk,2018,12,8,288,14,9513
Starmilk,2018,12,9,288,0,10000
Starmilk,2018,12,10,287,1,9965
Starmilk,2018,12,11,287,1,9965
Colombari,2018,11,2,286,148,4825
Colombari,2018,11,3,286,286,0
Colombari,2018,11,4,286,286,0
Colombari,2018,11,5,199,199,0
Colombari,2018,11,7,29,29,0
Colombari,2018,11,11,30,30,0
Colombari,2018,11,16,30,30,0
Colombari,2018,11,19,177,5,9717
Colombari,2018,11,20,117,7,9401
Stein,2018,12,3,253,0,10000
Stein,2018,12,4,288,84,7083
Stein,2018,12,5,288,102,6458
Stein,2018,12,6,288,2,9930
Stein,2018,12,7,288,3,9895
Stein,2018,12,8,288,3,9895
Stein,2018,12,9,288,0,10000
Stein,2018,12,10,254,33,8700
Stein,2018,12,11,285,3,9894
Itaipu,2018,12,1,98,0,10000
Itaipu,2018,12,2,91,0,10000
Itaipu,2018,12,3,288,0,10000
Itaipu,2018,12,4,288,0,10000
Itaipu,2018,12,5,288,0,10000
Itaipu,2018,12,6,288,3,9895
Itaipu,2018,12,7,288,0,10000
Itaipu,2018,12,8,288,0,10000
Itaipu,2018,12,9,288,0,10000
Itaipu,2018,12,10,288,0,10000
Itaipu,2018,12,11,288,0,10000